mundane;concerned with the world rather than with heaven, commonplace;(He is more concerned with the mundane issues of day-to-day life than with spiritual topics.)
munificence; generosity in giving;(The royal family’s munificence made everyone else in their country rich.);
mutable;able to change;(Because fashion is so mutable, what is trendy today will look outdated in five years.)
myriad; consisting of a very great number;(It was difficult to decide what to do Friday night because the city presented us with myriad possibilities for fun.);
nadir;the lowest point of something;(My day was boring, but the nadir came when I accidentally spilled a bowl of spaghetti on my head.)
nebulous;vaguely defined, cloudy;(The transition between governments meant that who was actually in charge was a nebulous matter.)
nefarious;heinously villainous;(Although Dr. Meanman’s nefarious plot to melt the polar icecaps was terrifying, it was so impractical that nobody really worried about it.)
negligent;habitually careless, neglectful;(Jessie’s grandfather called me a negligent fool after I left the door to his apartment unlocked even though there had been a recent string of robberies.)
nascent;in the process of being born or coming into existence;(Unfortunately, my brilliant paper was only in its nascent form on the morning that it was due.)
neophyte;someone who is young or inexperienced;(As a neophyte in the literary world, Malik had trouble finding a publisher for his first novel.)
nocturnal; relating to or occurring during the night;(Jackie was a nocturnal person;she would study until dawn and sleep until the evening.)
noisome;unpleasant, offensive, especially to the sense of smell;(Nobody would enter the stalls until the horse’s noisome leavings were taken away.)
nomadic;wandering from place to place;(In the first six months after college, Jose led a nomadic life, living in New York, California, and Idaho.)
nominal;trifling, insignificant;(Because he was moving the following week and needed to get rid of his furniture more than he needed money, Jordan sold everything for a nominal fee.)
nonchalant;having a lack of concern, indifference;(Although deep down she was very angry, Marsha acted in a nonchalant manner when she found out that her best friend had used her clothing without asking.)
nondescript; lacking a distinctive character;(I was surprised when I saw the movie star in person because she looked nondescript.);
notorious; widely and unfavorably known;(Jacob was notorious for always arriving late at parties.);
novice;a beginner, someone without training or experience;(Because we were all novices at yoga, our instructor decided to begin with the basics.)
noxious;harmful, unwholesome;(Environmentalists showed that the noxious weeds were destroying the insects’ natural habitats.)
nuance;a slight variation in meaning, tone, expression;(The nuances of the poem were not obvious to the casual reader, but the professor was able to point them out.)
nurture;to assist the development of;(Although Serena had never watered the plant, which was about to die, Javier was able to nurture it back to life.)
obdurate; unyielding to persuasion or moral influences;(The obdurate old man refused to take pity on the kittens.);
obfuscate;to render incomprehensible;(The detective did want to answer the newspaperman’s questions, so he obfuscated the truth.)
oblique;diverging from a straight line or course, not straightforward;(Martin’s oblique language confused those who listened to him.)
oblivious;lacking consciousness or awareness of something;(Oblivious to the burning smell emanating from the kitchen, my father did not notice that the rolls in the oven were burned until much too late.)
obscure;unclear, partially hidden;(Because he was standing in the shadows, his features were obscure.)
obsequious;excessively compliant or submissive;(Mark acted like Janet’s servant, obeying her every request in an obsequious manner.)
obsolete;no longer used, out of date;(With the inventions of tape decks and CDs, which both have better sound and are easier to use, eight-track players are now entirely obsolete.)
obstinate;not yielding easily, stubborn;(The obstinate child refused to leave the store until his mother bought him a candy bar.)
obstreperous;noisy, unruly;(Billy’s obstreperous behavior prompted the librarian to ask him to leave the reading room.)
obtuse; lacking quickness of sensibility or intellect;(Political opponents warned that the prime minister’s obtuse approach to foreign policy would embroil the nation in mindless war.);
odious; instilling hatred or intense displeasure;(Mark was assigned the odious task of cleaning the cat’s litter box.);
ominous; foreboding or foreshadowing evil;(The fortuneteller’s ominous words flashed through my mind as the hooded figure approached me in the alley.);
onerous; burdensome;(My parents lamented that the pleasures of living in a beautiful country estate no longer outweighed the onerous mortgage payments.);
opulent; characterized by rich abundance verging on ostentation;(The opulent furnishings of the dictator’s private compound contrasted harshly with the meager accommodations of her subjects.);
officious; offering one’s services when they are neither wanted nor needed;(Brenda resented Allan’s officious behavior when he selected colors that might best improve her artwork.);
oration; a speech delivered in a formal or ceremonious manner;(The prime minister was visibly shaken when the unruly parliament interrupted his oration about failed domestic policies.);
ornate;highly elaborate, excessively decorated;(The ornate styling of the new model of luxury car could not compensate for the poor quality of its motor.)
orthodox;conventional, conforming to established protocol;(The company’s profits dwindled because the management pursued orthodox business policies that were incompatible with new industrial trends.)
oscillate; to sway from one side to the other;(My uncle oscillated between buying a station wagon to transport his family and buying a sports car to satisfy his boyhood fantasies.);
ostensible;appearing as such, seemingly;(Jack’s ostensible reason for driving was that airfare was too expensive, but in reality, he was afraid of flying.)
ostentatious;excessively showy, glitzy;(On the palace tour, the guide focused on the ostentatious decorations and spoke little of the royal family’s history.)
ostracism; exclusion from a group;(Beth risked ostracism if her roommates discovered her flatulence.);
pacific; soothing;(The chemistry professor’s pacific demeanor helped the class remain calm after the experiment exploded.);
palatable;agreeable to the taste or sensibilities;(Despite the unpleasant smell, the exotic cheese was quite palatable.)
palette; a range of colors or qualities;(The palette of colors utilized in the painting was equaled only by the range of intense emotions the piece evoked.);
palliate; to reduce the severity of;(The doctor trusted that the new medication would palliate her patient’s discomfort.);
pallid; lacking color;(Dr. Van Helsing feared that Lucy’s pallid complexion was due to an unexplained loss of blood.);
panacea;a remedy for all ills or difficulties;(Doctors wish there was a single panacea for every disease, but sadly there is not.)
paradigm;an example that is a perfect pattern or model;(Because the new SUV was so popular, it became the paradigm upon which all others were modeled.)
paradox; an apparently contradictory statement that is perhaps true;(The diplomat refused to acknowledge the paradox that negotiating a peace treaty would demand more resources than waging war.);
paragon; a model of excellence or perfection;(The mythical Helen of Troy was considered a paragon of female beauty.);
paramount;greatest in importance, rank, character;(It was paramount that the bomb squad disconnect the blue wire before removing the fuse.)
pariah;an outcast;(Following the discovery of his plagiarism, Professor Hurley was made a pariah in all academic circles.)
parody; a satirical imitation;(A hush fell over the classroom when the teacher returned to find Deborah acting out a parody of his teaching style.);
parsimony;frugality, stinginess;(Many relatives believed that my aunt’s wealth resulted from her parsimony.)
partisan;a follower, adherent;(The king did not believe that his rival could round up enough partisans to overthrow the monarchy.)
patent;readily seen or understood, clear;(The reason for Jim’s abdominal pain was made patent after the doctor performed a sonogram.)
pathology; a deviation from the normal;(Dr. Hastings had difficulty identifying the precise nature of Brian’s pathology.);
pathos;an emotion of sympathy;(Martha filled with pathos upon discovering the scrawny, shivering kitten at her door.)
pejorative;derogatory, uncomplimentary;(The evening’s headline news covered an international scandal caused by a pejorative statement the famous senator had made in reference to a foreign leader.)
pellucid;easily intelligible, clear;(Wishing his book to be pellucid to the common man, Albert Camus avoided using complicated grammar when composing The Stranger.)
penchant;a tendency, partiality, preference;(Jill’s dinner parties quickly became monotonous on account of her penchant for Mexican dishes.)
penitent;remorseful, regretful;(The jury’s verdict may have been more lenient if the criminal had appeared penitent for his gruesome crimes.)
paucity; small in quantity;(Gilbert lamented the paucity of twentieth century literature courses available at the college.);
penultimate;next to last;(Having smoked the penultimate cigarette remaining in the pack, Cybil discarded the last cigarette and resolved to quit smoking.)
penurious;miserly, stingy;(Stella complained that her husband’s penurious ways made it impossible to live the lifestyle she felt she deserved.)
perfidious;disloyal, unfaithful;(After the official was caught selling government secrets to enemy agents, he was executed for his perfidious ways.)
perfunctory; showing little interest or enthusiasm;(The radio broadcaster announced the news of the massacre in a surprisingly perfunctory manner.);
permeate;to spread throughout, saturate;(Mrs. Huxtable was annoyed that the wet dog’s odor had permeated the furniture’s upholstery.)
pernicious; extremely destructive or harmful;(The new government feared that the Communist sympathizers would have a pernicious influence on the nation’s stability.);
perplex; to confuse;(Brad was perplexed by his girlfriend’s suddenly distant manner.);
perspicacity;shrewdness, perceptiveness;(The detective was too humble to acknowledge that his perspicacity was the reason for his professional success.)
pert;flippant, bold;(My parents forgave Sandra’s pert humor at the dinner table because it had been so long since they had last seen her.)
pertinacious; stubbornly persistent;(Harry’s parents were frustrated with his pertinacious insistence that a monster lived in his closet. Then they opened the closet door and were eaten.);
perusal;a careful examination, review;(The actor agreed to accept the role after a two-month perusal of the movie script.)
pervasive;having the tendency to spread throughout;(Stepping off the plane in Havana, I recognized the pervasive odor of sugar cane fields on fire.)
petulance;rudeness, irritability;(The Nanny resigned after she could no longer tolerate the child’s petulance.)
philanthropic;charitable, giving;(Many people felt that the billionaire’s decision to donate her fortune to house the homeless was the ultimate philanthropic act.)
phlegmatic;uninterested, unresponsive;(Monique feared her dog was ill after the animal’s phlegmatic response to his favorite chew toy.)
pillage;to seize or plunder, especially in war;(Invading enemy soldiers pillaged the homes scattered along the country’s border.)
pinnacle; the highest point;(Book reviewers declared that the author’s new novel was extraordinary and probably the pinnacle of Western literature.);
pithy; concisely meaningful;(My father’s long-winded explanation was a stark contrast to his usually pithy statements.);
pittance;a very small amount, especially relating to money;(Josh complained that he was paid a pittance for the great amount of work he did at the firm.)
placate;to ease the anger of, soothe;(The man purchased a lollipop to placate his irritable son.)
placid;calm, peaceful;(The placid lake surface was as smooth as glass.)
platitude;an uninspired remark, cliché;(After reading over her paper, Helene concluded that what she thought were profound insights were actually just platitudes.)
plaudits;enthusiastic approval, applause;(The controversial new film received plaudits from even the harshest critics.)
plausible;believable, reasonable;(He studied all the data and then came up with a plausible theory that took all factors into account.)
plenitude; an abundance;(My grandmother was overwhelmed by the plenitude of tomatoes her garden yielded this season.);
pliable; flexible;(Aircraft wings are designed to be somewhat pliable so they do not break in heavy turbulence.);
poignant;deeply affecting, moving;(My teacher actually cried after reading to us the poignant final chapter of the novel.)
polemic; an aggressive argument against a specific opinion;(My brother launched into a polemic against my arguments that capitalism was an unjust economic system.);
portent;an omen;(When a black cat crossed my sister’s path while she was walking to school, she took it as a portent that she would do badly on her spelling test.)
plethora;an abundance, excess;(The wedding banquet included a plethora of oysters piled almost three feet high.)
potable; suitable for drinking;(During sea voyages it is essential that ships carry a supply of potable water because salty ocean water makes anyone who drinks it sick.);
potentate;one who has great power, a ruler;(All the villagers stood along the town’s main road to observe as the potentate’s procession headed towards the capital.)
pragmatic;practical;(The politician argued that while increased security measures might not fit with the lofty ideals of the nation, they were a pragmatic necessity to ensure everyone’s safety.)
precipice;the face of a cliff, a steep or overhanging place;(The mountain climber hung from a precipice before finding a handhold and pulling himself up.)
preclude; to prevent;(My grandfather’s large and vicious guard dog precluded anyone from entering the yard.);
precocious;advanced, developing ahead of time;(Derek was so academically precocious that by the time he was 10 years old, he was already in the ninth grade.)
predilection;a preference or inclination for something;(Francois has a predilection for eating scrambled eggs with ketchup, though I prefer to eat eggs without any condiments.)
preponderance; superiority in importance or quantity;(Britain’s preponderance of naval might secured the nation’s role as a military power.);
prepossessing; occupying the mind to the exclusion of other thoughts or feelings;(His prepossessing appearance made it impossible for me to think of anything else.);
presage;an omen;(When my uncle’s old war injury ached, he interpreted it as a presage of bad weather approaching.)
prescient;to have foreknowledge of events;(Questioning the fortune cookie’s prediction, Ray went in search of the old hermit who was rumored to be prescient.)
prescribe; to lay down a rule;(The duke prescribed that from this point further all of the peasants living on his lands would have to pay higher taxes.);
presumptuous;disrespectfully bold;(The princess grew angry after the presumptuous noble tried to kiss her, even though he was far below her in social status.)
pretense;an appearance or action intended to deceive;(Though he actually wanted to use his parents’ car to go on a date, Nick borrowed his parents’ car under the pretense of attending a group study session.)
primeval;original, ancient;(The first primates to walk on two legs, called Australopithecus, were the primeval descendants of modern man.)
privation;lacking basic necessities;(After decades of rule by an oppressive government that saw nothing wrong with stealing from its citizens, the recent drought only increased the people’s privation.)
probity;virtue, integrity;(Because he was never viewed as a man of great probity, no one was surprised by Mr. Samson’s immoral behavior.)
proclivity;a strong inclination toward something;(In a sick twist of fate, Harold’s childhood proclivity for torturing small animals grew into a desire to become a surgeon.)
procure;to obtain, acquire;(The FBI was unable to procure sufficient evidence to charge the gangster with racketeering.)
profane;lewd, indecent;(Jacob’s profane act of dumping frogs in the holy water in the chapel at his boarding school resulted in his dismissal.)
profligate;dissolute, extravagant;(The profligate gambler loved to drink, spend money, steal, cheat, and hang out with prostitutes.)
profuse;plentiful, abundant;(The fans were profuse in their cheers for the star basketball player.)
propagate;to multiply, spread out;(Rumors of Paul McCartney’s demise propagated like wildfire throughout the world.)
propensity;an inclination, preference;(Dermit has a propensity for dangerous activities such as bungee jumping.)
propitious; favorable;(The dark storm clouds visible on the horizon suggested that the weather would not be propitious for sailing.);
propriety;the quality or state of being proper, decent;(Erma’s old-fashioned parents believed that her mini-skirt lacked the propriety expected of a “nice” girl.)
promulgate;to proclaim, make known;(The film professor promulgated that both in terms of sex appeal and political intrigue, Sean Connery’s James Bond was superior to Roger Moore’s.)
prosaic;plain, lacking liveliness;(Heather’s prosaic recital of the poem bored the audience.)
proscribe;to condemn, outlaw;(The town council voted to proscribe the sale of alcohol on weekends.)
protean; able to change shape;displaying great variety;(Among Nigel’s protean talents was his ability to touch the tip of his nose with his tongue.)
prowess;extraordinary ability;(The musician had never taken a guitar lesson in his life, making his prowess with the instrument even more incredible.)
prudence;cautious, circumspect;(After losing a fortune in a stock market crash, my father vowed to practice greater prudence in future investments.)
prurient; eliciting or possessing an extraordinary interest in sex;(David’s mother was shocked by the discovery of prurient reading material hidden beneath her son’s mattress.);
puerile;juvenile, immature;(The judge demanded order after the lawyer’s puerile attempt to object by stomping his feet on the courtroom floor.)
pugnacious;quarrelsome, combative;(Aaron’s pugnacious nature led him to start several barroom brawls each month.)
pulchritude; physical beauty;(Several of Shakespeare’s sonnets explore the pulchritude of a lovely young man.);
punctilious;eager to follow rules or conventions;(Punctilious Bobby, hall monitor extraordinaire, insisted that his peers follow the rules.)
pungent;having a pointed, sharp quality—often used to describe smells;(The pungent odor in the classroom made Joseph lose his concentration during the test.)
punitive;involving punishment;(If caught smoking in the boys’ room, the punitive result is immediate expulsion from school.)
putrid;rotten, foul;(Those rotten eggs smell putrid.)
quagmire; a difficult situation;(We’d all like to avoid the kind of military quagmire characterized by the Vietnam War.);
quaint; charmingly old-fashioned;(Hilda was delighted by the quaint bonnets she saw in Amish country.);
quandary;a perplexed, unresolvable state;(Carlos found himself in a quandary: should he choose mint chocolate chip or cookie dough?)
quell; to control or diffuse a potentially explosive situation;(The skilled leader deftly quelled the rebellion.);
querulous;whiny, complaining;(If deprived of his pacifier, young Brendan becomes querulous.)
quixotic;idealistic, impractical;(Edward entertained a quixotic desire to fall in love at first sight in a laundromat.)
quotidian; daily;(Ambika’s quotidian routines include drinking two cups of coffee in the morning.);
rail;to scold, protest;(The professor railed against the injustice of the college’s tenure policy.)
rancid; having a terrible taste or smell;(Rob was double-dog-dared to eat the rancid egg salad sandwich.);
rancor;deep, bitter resentment;(When Eileen challenged me to a fight, I could see the rancor in her eyes.)
rapport;mutual understanding and harmony;(When Margaret met her paramour, they felt an instant rapport.)
rash;hasty, incautious;(It’s best to think things over calmly and thoroughly, rather than make rash decisions.)
raze;to demolish, level;(The old tenement house was razed to make room for the large chain store.)
rebuke;to scold, criticize;(When the cops showed up at Sarah’s party, they rebuked her for disturbing the peace.)
recalcitrant;defiant, unapologetic;(Even when scolded, the recalcitrant young girl simply stomped her foot and refused to finish her lima beans.)
recapitulate;to sum up, repeat;(Before the final exam, the teacher recapitulated the semester’s material.)
raucous;loud, boisterous;(Sarah’s neighbors called the cops when her house party got too raucous.)
reciprocate;to give in return;(When Steve gave Samantha a sweater for Christmas, she reciprocated by giving him a kiss.)
reclusive;solitary, shunning society;(Reclusive authors such as J.D. Salinger do not relish media attention and sometimes even enjoy holing up in remote cabins in the woods.)
rectitude;uprightness, extreme morality;(The priest’s rectitude gave him the moral authority to counsel his parishioners.)
refract;to distort, change;(The light was refracted as it passed through the prism.)
refurbish;to restore, clean up;(The dingy old chair, after being refurbished, commanded the handsome price of $200.)
refute; to prove wrong;(Maria refuted the president’s argument as she yelled and gesticulated at the TV.);
relish; to enjoy;(Pete always relished his bedtime snack.);
remedial;intended to repair gaps in students’ basic knowledge;(After his teacher discovered he couldn’t read, Alex was forced to enroll in remedial English.)
remiss;negligent, failing to take care;(The burglar gained entrance because the security guard, remiss in his duties, forgot to lock the door.)
renown;honor, acclaim;(The young writer earned international renown by winning the Pulitzer Prize.)
renunciation;to reject;(Fiona’s renunciation of red meat resulted in weight loss, but confused those people who thought she’d been a vegetarian for years.)
repentant;penitent, sorry;(The repentant Dennis apologized profusely for breaking his mother’s vase.)
replete;full, abundant;(The unedited version was replete with naughty words.)
repose;to rest, lie down;(The cat, after eating an entire can of tuna fish, reposed in the sun and took a long nap.)
reprehensible; deserving rebuke;(Jean’s cruel and reprehensible attempt to dump her boyfriend on his birthday led to tears and recriminations.);
reprieve;a temporary delay of punishment;(Because the governor woke up in a particularly good mood, he granted hundreds of reprieves to prisoners.)
reproach;to scold, disapprove;(Brian reproached the customer for failing to rewind the video he had rented.)
reprobate;evil, unprincipled;(The reprobate criminal sat sneering in the cell.)
reprove;to scold, rebuke;(Lara reproved her son for sticking each and every one of his fingers into the strawberry pie.)
reputable;of good reputation;(After the most reputable critic in the industry gave the novel a glowing review, sales took off.)
requisition;a demand for goods, usually made by an authority;(During the war, the government made a requisition of supplies.)
rescind;to take back, repeal;(The company rescinded its offer of employment after discovering that Jane’s resume was full of lies.)
repudiate;to reject, refuse to accept;(Kwame made a strong case for an extension of his curfew, but his mother repudiated it with a few biting words.)
resilient; able to recover from misfortune;able to withstand adversity;(The resilient ballplayer quickly recovered from his wrist injury.)
resolute;firm, determined;(With a resolute glint in her eye, Catherine announced that she was set on going to college in New York City even though she was a little frightened of tall buildings.)
respite;a break, rest;(Justin left the pub to gain a brief respite from the smoke and noise.)
resplendent;shiny, glowing;(The partygoers were resplendent in diamonds and fancy dress.)
restitution; restoration to the rightful owner;(Many people feel that descendants of slaves should receive restitution for the sufferings of their ancestors.);
restive;resistant, stubborn, impatient;(The restive audience pelted the band with mud and yelled nasty comments.)
retract;withdraw;(As the media worked itself into a frenzy, the publicist hurriedly retracted his client’s sexist statement.)
revel; to enjoy intensely;(Theodore reveled in his new status as Big Man on Campus.);
revere;to esteem, show deference, venerate;(The doctor saved countless lives with his combination of expertise and kindness and became universally revered.)
revoke;to take back;(After missing the curfew set by the court for eight nights in a row, Marcel’s freedom of movement was revoked.)
rhapsodize;to engage in excessive enthusiasm;(The critic rhapsodized about the movie, calling it an instant classic.)
ribald;coarsely, crudely humorous;(While some giggled at the ribald joke involving a parson’s daughter, most sighed and rolled their eyes.)
rife;abundant;(Surprisingly, the famous novelist’s writing was rife with spelling errors.)
ruminate;to contemplate, reflect;(Terry liked to ruminate while sitting on the banks of the river, staring pensively into the water.)
ruse; a trick;(Oliver concocted an elaborate ruse for sneaking out of the house to meet his girlfriend while simultaneously giving his mother the impression that he was asleep in bed.);
saccharine;sickeningly sweet;(Tom’s saccharine manner, although intended to make him popular, actually repelled his classmates.)
sacrosanct;holy, something that should not be criticized;(In the United States, the Constitution is often thought of as a sacrosanct document.)
sagacity;shrewdness, soundness of perspective;(With remarkable sagacity, the wise old man predicted and thwarted his children’s plan to ship him off to a nursing home.)
salient;significant, conspicuous;(One of the salient differences between Alison and Nancy is that Alison is a foot taller.)
salutation; a greeting;(Andrew regularly began letters with the bizarre salutation “Ahoy ahoy.”);
salve;a soothing balm;(After Tony applied a salve to his brilliant red sunburn, he soon felt a little better.)
sanguine;optimistic, cheery;(Polly reacted to any bad news with a sanguine smile and the chirpy cry, “When life hands you lemons, make lemonade!”)
satiate;to satisfy excessively;(Satiated after eating far too much turkey and stuffing, Liza lay on the couch watching football and suffering from stomach pains.)
scathing;sharp, critical, hurtful;(Two hours after breaking up with Russell, Suzanne thought of the perfect scathing retort to his accusations.)
sanctimonious;giving a hypocritical appearance of piety;(The sanctimonious Bertrand delivered stern lectures on the Ten Commandments to anyone who would listen, but thought nothing of stealing cars to make some cash on the side.)
scintillating; sparkling;(The ice skater’s scintillating rhinestone costume nearly blinded the judges.);
scrupulous;painstaking, careful;(With scrupulous care, Sam cut a snowflake out of white paper.)
scurrilous;vulgar, coarse;(When Bruno heard the scurrilous accusation being made about him, he could not believe it because he always tried to be nice to everyone.)
sedentary;sitting, settled;(The sedentary cat did little but loll in the sun.)
semaphore; a visual signal;(Anne and Diana communicated with a semaphore involving candles and window shades.);
seminal;original, important, creating a field;(Stephen Greenblatt’s essays on Shakespeare proved to be seminal, because they initiated the critical school of New Historicism.)
sensual;involving sensory gratification, usually related to sex;(With a coy smile, the guest on the blind-date show announced that he considered himself a very sensual person.)
sensuous;involving sensory gratification;(Paul found drinking Coke, with all the little bubbles bursting on his tongue, a very sensuous experience.)
serendipity;luck, finding good things without looking for them;(In an amazing bit of serendipity, penniless Paula found a $20 bill in the subway station.)
serene;calm, untroubled;(Louise stood in front of the Mona Lisa, puzzling over the famous woman’s serene smile.)
servile;subservient;(The servile porter crept around the hotel lobby, bowing and quaking before the guests.)
sinuous;lithe, serpentine;(With the sinuous movements of her arms, the dancer mimicked the motion of a snake.)
sobriety;sedate, calm;(Jason believed that maintaining his sobriety in times of crisis was the key to success in life.)
solicitous;concerned, attentive;(Jim, laid up in bed with a nasty virus, enjoyed the solicitous attentions of his mother, who brought him soup and extra blankets.)
solipsistic; believing that oneself is all that exists;(Colette’s solipsistic attitude completely ignored the plight of the homeless people on the street.);
soluble; able to dissolve;(The plot of the spy film revolved around an untraceable and water-soluble poison.);
somnolent;sleepy, drowsy;(The somnolent student kept falling asleep and waking up with a jerk.)
sophomoric;immature, uninformed;(The mature senior rolled her eyes at the sophomoric gross-out humor of the underclassman.)
sovereign;having absolute authority in a certain realm;(The sovereign queen, with steely resolve, ordered that the traitorous nobleman be killed.)
speculative;not based in fact;(Sadly, Tessa was convicted on merely speculative evidence.)
spurious;false but designed to seem plausible;(Using a spurious argument, John convinced the others that he had won the board game on a technicality.)
stagnate;to become or remain inactive, not develop, not flow;(With no room for advancement, the waiter’s career stagnated.)
staid;sedate, serious, self-restrained;(The staid butler never changed his expression no matter what happened.)
stingy;not generous, not inclined to spend or give;(Scrooge’s stingy habits did not fit with the generous, giving spirit of Christmas.)
stolid;expressing little sensibility, unemotional;(Charles’s stolid reaction to his wife’s funeral differed from the passion he showed at the time of her death.)
strenuous; requiring tremendous energy or stamina;(Running a marathon is quite a strenuous task. So is watching an entire Star Trek marathon.);
strident;harsh, loud;(A strident man, Captain Von Trapp yelled at his daughter and made her cry.)
stupefy;to astonish, make insensible;(Veronica’s audacity and ungratefulness stupefied her best friend, Heather.)
stoic; unaffected by passion or feeling;(Penelope’s faithfulness to Odysseus required that she be stoic and put off her many suitors.);
subjugate;to bring under control, subdue;(The invading force captured and subjugated the natives of that place.)
sublime;lofty, grand, exalted;(The homeless man sadly pondered his former wealth and once sublime existence.)
submissive;easily yielding to authority;(In some cultures, wives are supposed to be submissive and support their husbands in all matters.)
succinct; marked by compact precision;(The governor’s succinct speech energized the crowd while the mayor’s rambled on and on.);
superfluous; exceeding what is necessary;(Tracy had already won the campaign so her constant flattery of others was superfluous.);
surfeit;an overabundant supply or indulgence;(After partaking of the surfeit of tacos and tamales at the All-You-Can-Eat Taco Tamale Lunch Special, Beth felt rather sick.)
surmise;to infer with little evidence;(After speaking to only one of the students, the teacher was able to surmise what had caused the fight.)
surreptitious; stealthy;(The surreptitious CIA agents were able to get in and out of the house without anyone noticing.);
surrogate; one acting in place of another;(The surrogate carried the child to term for its biological parents.);
swarthy;of dark color or complexion;(When he got drunk, Robinson’s white skin became rather swarthy.)
sycophant;one who flatters for self-gain;(Some see the people in the cabinet as the president’s closest advisors, but others see them as sycophants.)
tacit; expressed without words;(I interpreted my parents’ refusal to talk as a tacit acceptance of my request.);
taciturn;not inclined to talk;(Though Jane never seems to stop talking, her brother is quite taciturn.)
tangential;incidental, peripheral, divergent;(I tried to discuss my salary, but the boss kept veering off into tangential topics.)
tantamount;equivalent in value or significance;(When it comes to sports, fearing your opponent is tantamount to losing.)
tedious;dull, boring;(As time passed and the history professor continued to drone on and on, the lecture became increasingly tedious.)
temerity;audacity, recklessness;(Tom and Huck entered the scary cave armed with nothing but their own temerity.)
temperance; moderation in action or thought;(Maintaining temperance will ensure that you are able to think rationally and objectively.);
tenable;able to be defended or maintained;(The department heads tore down the arguments in other people’s theses, but Johari’s work proved to be quite tenable.)
tenuous;having little substance or strength;(Your argument is very tenuous, since it relies so much on speculation and hearsay.)
terrestrial; relating to the land;(Elephants are terrestrial animals.);
timorous;timid, fearful;(When dealing with the unknown, timorous Tallulah almost always broke into tears.)
tirade;a long speech marked by harsh or biting language;(Every time Jessica was late, her boyfriend went into a long tirade about punctuality.)
toady; one who flatters in the hope of gaining favors;(The other kids referred to the teacher’s pet as the Tenth Grade Toady.);
tome;a large book;(In college, I used to carry around an anatomy book that was the heaviest tome in my bag.)
torpid;lethargic, dormant, lacking motion;(The torpid whale floated, wallowing in the water for hours.)
tortuous;winding;(The scary thing about driving in mountains are the narrow, tortuous roads.)
tractable;easily controlled;(The horse was so tractable, Myra didn’t even need a bridle.)
tranquil; calm;(There is a time of night when nothing moves and everything is tranquil.);
transgress;to violate, go over a limit;(The criminal’s actions transgressed morality and human decency.)
torrid;giving off intense heat, passionate;(I didn’t want to witness the neighbor’s torrid affair through the window.)
transient;passing through briefly;passing into and out of existence
transmute; to change or alter in form;(Ancient alchemists believed that it was possible to transmute lead into gold.);
travesty;a grossly inferior imitation;(According to the school newspaper’s merciless theater critic, Pacific Coast High’s rendition of the musical Oklahoma was a travesty of the original.)
tremulous; fearful;(I always feel a trifle tremulous when walking through a graveyard.);
trenchant;effective, articulate, clear-cut;(The directions that accompanied my new cell phone were trenchant and easy to follow.)
trepidation;fear, apprehension;(Feeling great trepidation, Anya refused to jump into the pool because she thought she saw a shark in it.)
trite;not original, overused;(Keith thought of himself as being very learned, but everyone else thought he was trite because his observations about the world were always the same as David Letterman’s.)
truculent;ready to fight, cruel;(This club doesn’t really attract the dangerous types, so why was that bouncer being so truculent?)
truncate;to shorten by cutting off;(After winning the derby, the jockey truncated the long speech he had planned and thanked only his mom and his horse.)
turgid;swollen, excessively embellished in style or language;(The haughty writer did not realize how we all really felt about his turgid prose.)
turpitude;depravity, moral corruption;(Sir Marcus’s chivalry often contrasted with the turpitude he exhibited with the ladies at the tavern.)
ubiquitous;existing everywhere, widespread;(It seems that everyone in the United States has a television. The technology is ubiquitous here.)
umbrage;resentment, offense;(He called me a lily-livered coward, and I took umbrage at the insult.)
uncanny; of supernatural character or origin;(Luka had an uncanny ability to know exactly what other people were thinking. She also had an uncanny ability to shoot fireballs from her hands.);
unctuous;smooth or greasy in texture, appearance, manner;(The unctuous receptionist seemed untrustworthy, as if she was only being helpful because she thought we might give her a big tip.)
undulate;to move in waves;(As the storm began to brew, the placid ocean began to undulate to an increasing degree.)
upbraid; to criticize or scold severely;(The last thing Lindsay wanted was for Lisa to upbraid her again about missing the rent payment.);
usurp;to seize by force, take possession of without right;(The rogue army general tried to usurp control of the government, but he failed because most of the army backed the legally elected president.)
utilitarian;relating to or aiming at usefulness;(The beautiful, fragile vase couldn’t hold flowers or serve any other utilitarian purpose.)
utopia;an imaginary and remote place of perfection;(Everyone in the world wants to live in a utopia, but no one can agree how to go about building one.)
vacillate;to fluctuate, hesitate;(I prefer a definite answer, but my boss kept vacillating between the distinct options available to us.)
vacuous;lack of content or ideas, stupid;(Beyonce realized that the lyrics she had just penned were completely vacuous and tried to add more substance.)
vapid;lacking liveliness, dull;(The professor’s comments about the poem were surprisingly vapid and dull.)
variegated;diversified, distinctly marked;(Each wire in the engineering exam was variegated by color so that the students could figure out which one was which.)
vehemently; marked by intense force or emotion;(The candidate vehemently opposed cutting back on Social Security funding.);
validate;to confirm, support, corroborate;(Yoko’s chemistry lab partner was asleep during the experiment and could not validate the accuracy of her methods.)
veneer;a superficial or deceptively attractive appearance, façade;(Thanks to her Chanel makeup, Shannen was able to maintain a veneer of perfection that hid the flaws underneath.)
venerable; deserving of respect because of age or achievement;(The venerable Supreme Court justice had made several key rulings in landmark cases throughout the years.);
venerate;to regard with respect or to honor;(The tribute to John Lennon sought to venerate his music, his words, and his legend.)
veracity;truthfulness, accuracy;(With several agencies regulating the reports, it was difficult for Latifah to argue against its veracity.)
